,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,54eZmuggBFJbV7k248bTTt,0.686,0.654,0.506,0.0155,0.155,0.7136666666666667,0.0,0.0535,0.615895,0.831
1,0qdQUeKVyevrbKhAo0ibxS,0.0972,0.537,0.701,0.0,0.0832,0.85145,0.0,0.0335,0.604595,0.583
2,4QTV3dLUyYu5vFPEFvA1jg,0.462,0.48,0.224,0.88,0.105,0.6987166666666667,0.0,0.0401,0.400175,0.395
3,4YJ1KDI6tUSapyD6XTAg8i,0.0971,0.796,0.375,0.000736,0.0498,0.7777000000000001,1.0,0.072,0.44479,0.643
4,5YSI1311X8t31PBjkBG4CZ,0.366,0.481,0.392,0.0452,0.124,0.8103166666666667,1.0,0.0312,0.62286,0.52
5,0zVduthKvT1FEsUGFWT9Xo,0.574,0.311,0.249,5.35e-05,0.108,0.7324666666666666,1.0,0.0312,0.522555,0.0445
6,77K5TB5KZmDZCoJCdd1NvE,0.948,0.474,0.0404,0.000263,0.111,0.6298666666666667,0.0,0.0387,0.597075,0.18
7,2uwN3PDudlRkAKE3wA0OqJ,0.86,0.53,0.0993,0.2,0.153,0.6075333333333334,0.0,0.0549,0.590695,0.588
8,6ehHnorFaDHI4Y0BMtMF23,0.752,0.651,0.319,0.0,0.149,0.7932,1.0,0.0359,0.4019,0.725
9,52vA3CYKZqZVdQnzRrdZt6,0.887,0.389,0.396,0.0,0.0828,0.8666833333333334,1.0,0.0332,0.8593000000000001,0.585
10,4O0sGJdqpHMaWz7KoVd7tb,0.243,0.506,0.343,0.0,0.141,0.79745,0.0,0.03,0.65026,0.265
11,7Dm3dV3WPNdTgxoNY7YFnc,0.0517,0.522,0.755,6.63e-05,0.0781,0.8841666666666667,1.0,0.0524,0.75898,0.637
12,0hNVjU6JKydHts0SAjHCno,0.836,0.604,0.37,0.346,0.0954,0.6925,1.0,0.0362,0.451695,0.666
13,3uCkIqD0VzQUijbs8WIizs,0.989,0.401,0.13,0.305,0.101,0.7060333333333333,1.0,0.0312,0.46545499999999995,0.213
14,2L93TdW2GMue1H2zlkt30F,0.922,0.409,0.172,0.00112,0.111,0.726,0.0,0.0389,0.6607550000000001,0.352
15,5y788ya4NvwhBznoDIcXwK,0.837,0.525,0.216,0.0,0.107,0.77415,1.0,0.0301,0.533805,0.328
16,6Qb7gtV6Q4MnUjSbkFcopl,0.166,0.815,0.372,0.000116,0.0767,0.7864333333333333,1.0,0.0752,0.50842,0.293
17,0fzCtVM9D5UEwiLqcY8Ouq,0.0512,0.438,0.827,0.000402,0.319,0.89115,1.0,0.0328,0.716885,0.645
18,4K1imZQQ0yKtJ40vGmUajS,0.843,0.607,0.142,0.000197,0.121,0.6090833333333334,1.0,0.0382,0.5943350000000001,0.305
19,1b7LMtXCXGc2EwOIplI35z,0.0934,0.795,0.564,0.000531,0.0631,0.8253,1.0,0.0392,0.62083,0.961
20,4KROoGIaPaR1pBHPnR3bwC,0.871,0.642,0.427,0.0904,0.124,0.8588166666666667,1.0,0.0402,0.41172,0.404
21,11VwZwNF29HrqwalYUMitb,0.911,0.637,0.107,0.00146,0.103,0.68735,1.0,0.0349,0.414395,0.296
22,7obb4s6A7gf0Lc2AGxodMy,0.253,0.47,0.397,1.35e-05,0.109,0.8443833333333334,1.0,0.0345,0.64345,0.487
23,1UKobFsdqNXQb8OthimCKe,0.914,0.483,0.159,0.0,0.111,0.7725333333333333,1.0,0.0353,0.7336050000000001,0.423
24,2w3ScXudq4aD3K5HFO5xvx,0.281,0.666,0.608,0.000804,0.466,0.8444166666666666,1.0,0.0319,0.6159,0.674
25,6YEOmCsXSk9ZPE0FkcCiuQ,0.286,0.51,0.389,0.000398,0.644,0.7613833333333333,0.0,0.0384,0.4702,0.621
26,46EuzanXhKwIc7755wLAvS,0.702,0.524,0.321,0.0,0.124,0.8091333333333334,0.0,0.032,0.42664,0.27
27,76TZCvJ8GitQ2FA1q5dKu0,0.702,0.439,0.488,0.000339,0.16,0.7589333333333333,1.0,0.0615,0.46508499999999997,0.629
28,0wokCRaKD0zPNhMRXAgVsr,0.0131,0.472,0.652,1.12e-05,0.14,0.8304833333333334,0.0,0.0305,0.70062,0.401
29,1H7gMYGykdtwZOV6s1N0by,0.183,0.425,0.369,0.00126,0.112,0.8020666666666667,1.0,0.0379,0.883125,0.65
30,6ofam9RHTG7UBUa6uO2MjP,0.891,0.673,0.168,0.79,0.11,0.7444500000000001,1.0,0.0369,0.624125,0.726
31,7hoWkhuHv9b3jiCbxX1kMm,0.524,0.651,0.414,0.00267,0.118,0.8238,1.0,0.0301,0.555875,0.445
32,5MbXzXGbqobR8xPVPs8OXA,0.13,0.411,0.381,0.257,0.132,0.7939833333333333,1.0,0.0286,0.38481499999999996,0.524
33,0H8ukN2MIW2iNvqJP1kb4O,0.94,0.686,0.143,7.65e-05,0.0792,0.7549833333333333,1.0,0.042,0.508255,0.351
34,6M665tf7ZKQzUFA5yOrUE4,0.286,0.558,0.444,6.56e-05,0.121,0.8741833333333333,0.0,0.0345,0.912915,0.444
35,3y4Uza6K58JXQ7RYya8ZI5,0.413,0.486,0.241,3.51e-05,0.0928,0.71105,1.0,0.0366,0.53287,0.614
36,62ZYyXIsHVX5xVUj80arVu,0.978,0.485,0.262,5.99e-05,0.117,0.7785666666666666,1.0,0.0263,0.49268,0.332
37,1KueOLeUZpaNRK2InckxVT,0.374,0.488,0.209,5.05e-06,0.103,0.6741833333333334,1.0,0.0369,0.60315,0.362
38,19Shlms2uTnOjIUg50TXzd,0.858,0.654,0.336,0.385,0.0786,0.78625,1.0,0.0379,0.880415,0.947
39,70gbuMqwNBE2Y5rkQJE9By,0.943,0.503,0.265,0.045,0.0867,0.7347833333333333,1.0,0.0333,0.39022,0.522
40,49uBVeaM3ixGD8VIeqh9KI,0.957,0.579,0.0233,6.74e-05,0.101,0.6905,0.0,0.0445,0.58722,0.389
41,0iOZM63lendWRTTeKhZBSC,0.713,0.606,0.457,2.53e-05,0.0747,0.7660833333333333,0.0,0.0497,0.460165,0.813
42,2ddznUWfrjiPS0cYGGf2jy,0.905,0.531,0.134,0.0,0.0803,0.77115,1.0,0.0348,0.54084,0.344
43,7mjSHL2Eb0kAwiKbvNNyD9,0.345,0.48,0.542,0.000609,0.113,0.8581666666666666,1.0,0.0348,0.7642650000000001,0.567
44,5Trbt34yBAzpM59c6G8pqO,0.151,0.499,0.49,0.000171,0.236,0.83115,1.0,0.0294,0.6701349999999999,0.552
45,0P7DoyGrr4Wp9w5TotEtUC,0.373,0.63,0.551,5.75e-05,0.103,0.8453333333333334,1.0,0.0549,0.71934,0.518
46,6TNNMVpOgn8K5NoDC7alG6,0.428,0.603,0.494,0.000171,0.0894,0.8288333333333333,1.0,0.0301,0.73907,0.729
47,0hhzJEusz6r7f0eL1Uc8kw,0.803,0.698,0.643,0.0799,0.704,0.7169166666666666,1.0,0.0649,0.6411,0.714
48,6dfhF1BDGmhM69fnCb6wSC,0.554,0.259,0.241,6.62e-06,0.0849,0.7340833333333333,1.0,0.042,0.892265,0.275
49,0yQ9vnsC7CyPMwAQ3BlWcJ,0.95,0.404,0.093,7.53e-05,0.717,0.6827333333333333,1.0,0.0486,0.40112000000000003,0.244
50,4hupcimlg3UBbW1kAQ6vrT,0.831,0.524,0.553,0.0,0.174,0.82055,1.0,0.0292,0.52289,0.517
51,09g4TuWLxMmrOTt1kzS47Z,0.925,0.432,0.0554,0.0749,0.101,0.6286833333333333,1.0,0.0395,0.8697199999999999,0.361
52,3RkQ3UwOyPqpIiIvGVewuU,0.794,0.39,0.31,0.0,0.379,0.7575833333333333,1.0,0.0676,0.8875749999999999,0.584
53,4OjKHySJHstsImlUW3qfml,0.851,0.561,0.366,0.0,0.813,0.7643333333333333,1.0,0.327,0.393295,0.646
54,580Am1PtXEC1hVVibksKRE,0.685,0.32,0.0917,0.000145,0.113,0.6361166666666667,1.0,0.0309,0.8569,0.136
55,4rXt1tYHZIavECuN32fk96,0.648,0.656,0.188,6e-06,0.12,0.7834,1.0,0.0335,0.426355,0.192
56,6mFkJmJqdDVQ1REhVfGgd1,0.735,0.481,0.262,0.0114,0.832,0.7378333333333333,1.0,0.0414,0.614305,0.375
57,0HKLzcztfHW7o9b2i0PwtV,0.817,0.63,0.191,0.00974,0.118,0.7322833333333334,1.0,0.0296,0.5503399999999999,0.264
58,1RcKqJ28uiE8EHPfg7Mg2J,0.994,0.364,0.0657,0.593,0.15,0.6475333333333333,1.0,0.0372,0.6722400000000001,0.236
59,4MCI71gpCGwHsK2rv7c8pv,0.777,0.512,0.208,0.0,0.102,0.7399166666666667,1.0,0.0522,0.488725,0.426
60,3m5sA2H6OLsXraABD9NDkD,0.847,0.511,0.183,1.08e-06,0.103,0.7187166666666667,1.0,0.0604,0.528305,0.529
61,3PjMtNzwhDHqxoKudm6GvF,0.944,0.381,0.214,0.0,0.106,0.8061833333333334,1.0,0.0337,0.637905,0.393
62,3gdewACMIVMEWVbyb8O9sY,0.432,0.601,0.532,6.25e-06,0.0925,0.8480166666666666,1.0,0.0286,0.682855,0.341
63,5lNnEsklGnGeU50sWQ87T9,0.905,0.563,0.201,1.4e-05,0.0898,0.77655,1.0,0.031,0.45098999999999995,0.242
64,7zkLpY72g6lKQbiHDqri1S,0.941,0.526,0.299,0.097,0.106,0.77005,1.0,0.031,0.78424,0.679
65,2aWxDsPrW9boRYyWLF6sst,0.296,0.559,0.491,0.000473,0.303,0.7571666666666667,1.0,0.0346,0.40924999999999995,0.658
66,6Mnne5V9ZifNID59dswUcZ,0.724,0.559,0.276,5.29e-05,0.0977,0.7689666666666667,1.0,0.0286,0.467625,0.4
67,7iKnwGAMdY6LYLILGnsGhT,0.877,0.399,0.132,0.000305,0.118,0.7254666666666667,1.0,0.0329,0.4551,0.362
68,2iZEOHx7XZGZUglo3gI9a7,0.00164,0.424,0.555,0.0243,0.462,0.9091666666666667,1.0,0.0408,0.61116,0.31
69,3LELTbDh9YCJrJIUERcj9p,0.434,0.457,0.379,0.000276,0.202,0.7730333333333334,1.0,0.0342,0.39244999999999997,0.363
70,5y8d8RHvxb0KiTa9Nq0xWp,0.592,0.443,0.365,0.00484,0.0886,0.80285,1.0,0.0315,0.66578,0.398
71,5By7Pzgl6TMuVJG168VWzS,0.652,0.578,0.29,0.0,0.105,0.79165,0.0,0.0341,0.5870150000000001,0.666
72,29tvuiMPkb9q56VRoLVQKD,0.973,0.404,0.0173,0.00517,0.239,0.5869666666666666,0.0,0.0388,0.506675,0.348
73,44gq8zKiyisjDCKRfcuk3N,0.722,0.714,0.268,5.05e-06,0.246,0.8742333333333333,1.0,0.0329,0.581695,0.332
74,3G69vJMWsX6ZohTykad2AU,0.245,0.392,0.534,0.00104,0.155,0.85345,1.0,0.0369,0.906525,0.325
75,2ZwgXfgkcnO9I2UQI6wQFh,0.913,0.815,0.263,0.17,0.112,0.8373833333333334,1.0,0.0426,0.60101,0.576
76,4lSofToZxg0tPiVfv6AOMM,0.912,0.407,0.237,0.0892,0.141,0.7753833333333333,0.0,0.0367,0.536935,0.158
77,6QP9DFKvDjegtwz2HQZFL7,0.646,0.566,0.49,7.34e-05,0.212,0.80495,1.0,0.0402,0.428075,0.601
