,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0TyUOnU4H4GLqOcrH0auc8,0.00791,0.927,0.642,3.62e-05,0.279,0.9255666666666666,0.0,0.0657,0.619845,0.901
1,29zvr7PRPQhE8plnBZ44nZ,0.0202,0.645,0.85,0.0,0.656,0.93955,0.0,0.0898,0.729855,0.961
2,6p0Nvka9pKB9PYEC8kyc03,0.0223,0.586,0.718,0.0,0.265,0.9069833333333334,1.0,0.0302,0.50015,0.823
3,23ZmKlucJRQrdR0QItAafL,0.000901,0.658,0.773,0.0,0.194,0.9146833333333333,1.0,0.0244,0.50003,0.66
4,7LigIDzs63Y4uFlZvNzCZq,0.257,0.751,0.683,0.0,0.413,0.9486666666666667,0.0,0.035,0.59994,0.668
5,5RaThsdZpF9WWwoP00NjLI,0.019,0.683,0.818,2.42e-05,0.0807,0.9489833333333333,1.0,0.0332,0.700095,0.965
6,1FPTtFzvWMtV1A7ouK78at,0.000945,0.611,0.928,0.0171,0.0667,0.9242833333333333,1.0,0.0408,0.6399900000000001,0.835
7,78wMThFTNKThsWq19o0F1H,0.00169,0.202,0.742,0.000483,0.128,0.9118333333333333,1.0,0.124,0.97438,0.155
8,4w5wkuwuCByenZ6QufdeQN,0.000921,0.45,0.968,2.09e-05,0.121,0.9330333333333334,1.0,0.0507,0.7700549999999999,0.487
9,1i6CPLccaipwpW7vqyU6q8,4.46e-05,0.437,0.803,0.0164,0.107,0.92015,1.0,0.04,0.737535,0.735
10,6d0v3O81urNRzxLWkXVLD3,0.0145,0.523,0.901,0.0,0.127,0.9589833333333333,1.0,0.0672,0.70545,0.696
11,3uKLuVqBd0bIUfFDdn68lI,0.0741,0.62,0.773,0.000606,0.158,0.8612666666666666,1.0,0.0382,0.7899550000000001,0.934
12,1y8ooe9Zr1PMIxrOwNeeOi,0.00792,0.423,0.721,0.0,0.38,0.8654999999999999,1.0,0.165,0.80963,0.382
13,5uDo40mspcWNHDCLlKTLoJ,0.0211,0.516,0.726,0.0,0.0856,0.9247333333333333,1.0,0.0456,0.760445,0.503
