,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,1vgSaC0BPlL6LEm4Xsx59J,0.932,0.257,0.0906,0.985,0.0786,0.5769833333333334,1.0,0.07,0.3373,0.0451
1,2Bc4llhjJBW77I552RgA3L,0.911,0.167,0.071,0.855,0.107,0.5482,0.0,0.041,0.716575,0.0613
2,4TrCvd1PrqI14lZb7tEtYo,0.955,0.0629,0.0718,0.907,0.0906,0.58685,0.0,0.0432,0.33625,0.0324
3,1i8MaQec4fQXj1enX8ZWF4,0.528,0.196,0.0236,0.0845,0.289,0.5751166666666667,0.0,0.0429,0.67298,0.0894
4,3pcrD4NBBBQGMJATRhk25C,0.82,0.179,0.249,0.929,0.0803,0.6680333333333334,1.0,0.0405,0.42222000000000004,0.0367
5,3hFipULsVstcUDjujwyNr5,0.953,0.177,0.1,0.967,0.0651,0.5498666666666667,1.0,0.0466,0.356485,0.0394
6,2UZZtkoLOg7IHxeTAdPFvd,0.864,0.0783,0.206,0.838,0.179,0.6564833333333333,0.0,0.0337,0.401705,0.0807
7,4KrsGAgv8b2982iqaokrO0,0.99,0.297,0.00705,0.929,0.0877,0.6044499999999999,1.0,0.0444,0.33098999999999995,0.0863
8,4KvUvF2p3dwxYCbq4LswDA,0.976,0.147,0.0324,0.978,0.114,0.4873666666666667,1.0,0.0418,0.68829,0.0397
9,1GfdC8GouQqL0RKKzgIhXw,0.993,0.207,0.0537,0.953,0.0991,0.5528500000000001,1.0,0.043,0.341135,0.0325
10,244AfRQzVwSOzkkRHGPWge,0.991,0.0887,0.0115,0.913,0.111,0.4165333333333333,1.0,0.0388,0.34739,0.0889
11,2RWxRXIiwbcKEaplXoplUv,0.759,0.0931,0.273,0.836,0.0888,0.6947,1.0,0.0365,0.37457,0.0422
12,473LOUVfW0SnEmg7aXktga,0.936,0.0782,0.408,0.953,0.0882,0.6613666666666667,1.0,0.0661,0.36411499999999997,0.0382
13,3Q6okpLoq2ZhOzZfBHpmei,0.977,0.0631,0.00256,0.84,0.115,0.2599,1.0,0.0452,0.32959499999999997,0.0234
