,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,41P6Tnd8KIHqON0QIydx6a,0.433,0.634,0.663,0.124,0.102,0.8863666666666666,1.0,0.0331,0.7302649999999999,0.6
1,52xFKeXEHm2fI8jpia0oUS,0.838,0.442,0.355,0.003,0.114,0.7621666666666667,1.0,0.0574,0.7711150000000001,0.293
2,0A4gEliYdWpZQeRt1en0XN,0.952,0.488,0.175,1.01e-06,0.105,0.8416666666666667,1.0,0.0491,0.586455,0.201
3,6xGruZOHLs39ZbVccQTuPZ,0.891,0.44,0.317,4.78e-06,0.141,0.8457,1.0,0.0531,0.8495699999999999,0.268
4,3hUxzQpSfdDqwM3ZTFQY0K,0.538,0.532,0.623,7.28e-05,0.0925,0.8465333333333334,1.0,0.0331,0.449685,0.403
5,3GYlZ7tbxLOxe6ewMNVTkw,0.83,0.412,0.236,0.00653,0.147,0.74735,0.0,0.0379,0.70107,0.119
6,1l4iQsOZ5sOXZPMQLvouaB,0.0262,0.701,0.875,7.32e-06,0.137,0.9316666666666666,1.0,0.0757,0.55988,0.84
7,1Y3LN4zO1Edc2EluIoSPJN,0.777,0.551,0.55,0.0,0.202,0.9110166666666667,1.0,0.0286,0.50595,0.342
8,0KQRhak4Irr2CKxgQ9U6ay,0.912,0.502,0.416,0.0,0.0934,0.8416,1.0,0.433,0.875955,0.433
9,7CFPVdKn4FFkIm7rZYhNZQ,0.592,0.426,0.46,0.0,0.101,0.8630666666666666,0.0,0.0713,0.46189,0.0753
10,4kJT7Yj6Za01KfKHjb7mZE,0.92,0.538,0.0203,0.019,0.104,0.61395,1.0,0.0437,0.607235,0.103
11,4vi0VouKDXJZEBANYxwCFN,0.805,0.634,0.373,0.0,0.0928,0.9120166666666667,1.0,0.0299,0.412095,0.28
12,4YUSjeeznV0HhsbWdSkHx0,0.779,0.593,0.508,8.67e-05,0.196,0.8834333333333333,1.0,0.132,0.6498900000000001,0.645
13,2GThBgzZoZfz0lx1JjBwfe,0.727,0.597,0.351,3.86e-05,0.319,0.86595,1.0,0.0281,0.5997399999999999,0.243
14,4aOn1poQUctDNYifxmgK61,0.844,0.624,0.303,2.25e-05,0.162,0.8424166666666667,0.0,0.0352,0.86956,0.775
15,0GNVXNz7Jkicfk2mp5OyG5,0.799,0.664,0.5,0.0,0.0966,0.8844166666666666,1.0,0.0651,0.58948,0.801
16,1xscBC6UV21t0sMCgu0mLi,0.892,0.316,0.236,0.0,0.101,0.8372833333333334,1.0,0.0313,0.41628,0.501
17,0M8LvMw5ARqPvBGALIBLoM,0.182,0.73,0.368,1.62e-05,0.0782,0.8422666666666667,1.0,0.0708,0.49014,0.225
18,7kdmDLwyzFL8jYLzfMvPwQ,0.873,0.766,0.408,0.00143,0.111,0.8088500000000001,1.0,0.0474,0.684995,0.039
19,7dDrR6vMK1JAwZZ5MIWgme,0.955,0.436,0.255,3.28e-05,0.106,0.8562833333333333,1.0,0.0364,0.566325,0.15
20,2EjuEHTRZRgE9pvaBm5Hh3,0.916,0.483,0.204,0.0,0.107,0.78225,1.0,0.0453,0.413555,0.219
21,5f20q1GsH6sr5tD91jgbyP,0.0104,0.511,0.766,0.00479,0.39,0.9470333333333333,1.0,0.074,0.8043300000000001,0.603
22,0HfrMtru5FIDJj4PsTJUzN,0.515,0.702,0.67,0.112,0.104,0.85795,0.0,0.0363,0.480085,0.723
23,6HLtZhPygF6XrLVLkkaEYC,0.817,0.652,0.45,0.0,0.121,0.8661666666666666,1.0,0.0361,0.7648950000000001,0.427
24,6AN3OGCZP8a7935tvYrgDD,0.85,0.6,0.261,0.000321,0.128,0.7636166666666666,1.0,0.0514,0.440315,0.163
25,4axSuOg3BqsowKjRpj59RU,0.904,0.476,0.189,4.52e-06,0.254,0.7703833333333333,0.0,0.0329,0.579255,0.324
26,5mtW8Fo5sjFQY6nA10mDIy,0.246,0.582,0.378,0.00126,0.11,0.8073333333333333,1.0,0.0314,0.58507,0.145
27,5isaeQhLPaB5dGg0ccJOuX,0.61,0.536,0.485,4.03e-06,0.0916,0.8812833333333333,1.0,0.0329,0.77979,0.519
28,1b7g70Su9yEnnfIetjAYWL,0.96,0.387,0.0565,2.95e-06,0.111,0.7563833333333333,1.0,0.0387,0.79765,0.108
29,4d2ZJ9W7dkQuITwUCTuD5n,0.465,0.579,0.454,0.0,0.0997,0.8789333333333333,1.0,0.0427,0.394745,0.461
30,7qLUUHpvOezSnNERh4IRPx,0.147,0.288,0.503,1.82e-06,0.374,0.9216666666666666,1.0,0.0356,0.36734,0.265
31,6CC7m07iUQA2oKr2Ky4gRl,0.865,0.658,0.283,0.000674,0.119,0.7897333333333334,1.0,0.0306,0.779235,0.228
32,5SHpuW2qjkQtFRpE6P9Nks,0.929,0.387,0.135,0.0,0.0948,0.7600333333333333,1.0,0.051,0.414935,0.21
33,1bI1ASTRif9GKJO9b7PQk3,0.501,0.462,0.411,0.0,0.0969,0.85975,1.0,0.0288,0.6880299999999999,0.195
34,2cHjdUBcdnnCGdubhCmLbM,0.276,0.749,0.662,0.0,0.17,0.9049,1.0,0.0411,0.59997,0.7
35,7156NTCsRSyw7A2si4sm5e,0.778,0.607,0.404,1.49e-05,0.108,0.87075,1.0,0.0451,0.7810299999999999,0.33
36,1jgdPCPdnRmTdJ7cwX1GI0,0.454,0.659,0.459,1.23e-06,0.059,0.8512,1.0,0.103,0.44006,0.246
37,4IhTXiZLKATmwhMZIb1GQN,0.981,0.44,0.04,0.465,0.111,0.71855,1.0,0.0322,0.679825,0.249
38,3lpshfvmjrxGm9xr3x47F2,0.0158,0.736,0.667,0.0,0.131,0.9214,1.0,0.0303,0.584865,0.774
39,0HaRLPnr887lcQM2YQzkff,0.161,0.87,0.479,0.000157,0.209,0.87035,1.0,0.165,0.520295,0.717
40,17vwIZ7XPQzJE91ljTjuM5,0.939,0.336,0.319,0.00592,0.104,0.76315,1.0,0.0331,0.495535,0.141
41,6LL5S3DGrUJ6cZRuDefguP,0.434,0.431,0.349,7.02e-05,0.241,0.8429,1.0,0.0325,0.313135,0.165
42,2KC89XSvZn9EEk8Dt7VuG9,0.904,0.308,0.211,1.69e-06,0.165,0.8104166666666667,1.0,0.0383,0.841595,0.0948
43,21xzFXSL2XkZ2mIzDDAqTK,0.967,0.459,0.304,1.95e-05,0.0951,0.83155,1.0,0.136,0.38476999999999995,0.072
44,3ixe45hov7EBKXm8tYBmvX,0.522,0.702,0.712,0.0263,0.267,0.8760833333333333,0.0,0.0584,0.755085,0.891
45,2HmNAp3GcJ7DCKtnmV7N84,0.179,0.682,0.705,8.88e-05,0.154,0.8943333333333333,1.0,0.0425,0.6653100000000001,0.862
46,41cpvQ2GyGb2BRdIRSsTqK,0.877,0.24,0.116,0.00092,0.1,0.7797333333333334,1.0,0.0329,0.386745,0.0937
47,49ykaqGBrhQ6FSriy2ZBaF,0.932,0.592,0.152,0.000367,0.109,0.7574833333333333,1.0,0.0373,0.5394100000000001,0.258
48,0ikj11vlWRTn6lxs5xMkOj,0.804,0.556,0.456,1.46e-06,0.165,0.90145,1.0,0.0327,0.43017000000000005,0.503
49,6be7birJOF85i9dL0wUrBg,0.732,0.395,0.391,0.0,0.106,0.8480166666666666,1.0,0.0348,0.390985,0.292
50,1n8Dak8MPeZ82E3iPzWyzH,0.53,0.595,0.296,0.0,0.135,0.8323,1.0,0.028,0.555105,0.159
51,47hXMyQDGW8sA1NGqmFL7h,0.771,0.786,0.356,0.694,0.1,0.8094666666666667,1.0,0.0462,0.5801149999999999,0.519
52,0Q2FDq304w57PGAKKcC3Qk,0.247,0.631,0.826,0.000308,0.107,0.89725,1.0,0.146,0.45025,0.556
53,4QyG5ATNtJcpTUNkmsyggh,0.932,0.377,0.413,0.000187,0.229,0.79265,1.0,0.0654,0.74816,0.317
54,6HXvariUkMlkUgg9qzLTc2,0.525,0.486,0.542,0.0,0.0856,0.8960666666666667,1.0,0.0884,0.50018,0.416
55,769Ld8demNhMgVLAQcjTDn,0.457,0.815,0.442,0.0,0.101,0.8756333333333334,0.0,0.107,0.450095,0.706
56,5HVc3YeNKDFomPhXBKE90U,0.45,0.628,0.517,1.27e-06,0.104,0.8828166666666667,1.0,0.0596,0.39514499999999997,0.295
57,3z6Gmz2jadZZ9y5FOIWAqF,0.485,0.67,0.602,6.66e-05,0.119,0.8544833333333334,1.0,0.131,0.70006,0.321
58,6Q9IUoBTNLHgBib1FSFGbj,0.597,0.734,0.45,7.33e-06,0.0964,0.8820833333333333,1.0,0.0824,0.675335,0.529
59,4d1CG5ei1E2vGbvmgf5KKv,0.302,0.47,0.494,0.0,0.0672,0.8554666666666666,1.0,0.0349,0.7201949999999999,0.0524
60,7rsTP6MbfJqXT11RiDDo5a,0.907,0.725,0.273,0.0,0.0925,0.8289833333333334,1.0,0.0273,0.499605,0.436
61,40gooTta3y4FgzXaMOGDJL,0.328,0.722,0.706,0.0,0.108,0.9241333333333334,0.0,0.0314,0.5749150000000001,0.715
62,7AX1eCw6qcX54PrDylynJr,0.771,0.636,0.527,1.3e-06,0.126,0.8754666666666666,1.0,0.0414,0.639995,0.222
63,17uhetjXsCctreur8sxfqo,0.638,0.587,0.342,7.84e-06,0.0983,0.8399333333333333,1.0,0.0477,0.44917999999999997,0.345
64,6pyM30WDpG70VTfwoQg4m2,0.851,0.388,0.448,0.0,0.302,0.9129833333333334,0.0,0.0341,0.7117100000000001,0.397
65,3L3G4XFQqtFe9a3azMacZ5,0.0789,0.377,0.558,0.000342,0.125,0.8487333333333333,1.0,0.0299,0.749855,0.267
66,20ACQf24bEwSVnKAhVfH5u,0.492,0.631,0.452,0.0,0.246,0.8239833333333333,1.0,0.063,0.7199450000000001,0.412
67,4rRWJUXC3wjs5z217dwCUW,0.502,0.569,0.41,3.83e-05,0.111,0.8583666666666667,1.0,0.0323,0.404535,0.217
68,7lYjepjDeboEus0v2nSqu5,0.153,0.66,0.761,0.0,0.0922,0.9022666666666667,1.0,0.0502,0.53508,0.356
69,496vIKS2INz840xZaKncvR,0.67,0.734,0.497,2.35e-05,0.194,0.8389,1.0,0.166,0.639945,0.307
70,0P11qKeHWhUy0rDPeY8dyB,0.328,0.565,0.364,0.0,0.108,0.8414666666666667,1.0,0.2,0.778525,0.527
71,0UHdsqznjCoqPzZJTJZ5Kb,0.205,0.387,0.476,0.0,0.188,0.9102,1.0,0.0351,0.701955,0.478
72,6M70kLblnAfCQ9uj8BdcUR,0.861,0.494,0.271,0.188,0.109,0.7317333333333333,1.0,0.0389,0.9247650000000001,0.326
73,1ZygZX3pyRyGxANo6WrSV0,0.458,0.8,0.325,0.0,0.131,0.8868833333333334,1.0,0.0331,0.459875,0.472
74,62sWTVzpcujJtb4E5B3K07,0.473,0.708,0.403,1.54e-06,0.326,0.8357,1.0,0.0357,0.659745,0.497
75,4tRXJwAv2zZrcDcfjTUekQ,0.657,0.544,0.366,0.016,0.113,0.8084,0.0,0.0386,0.87932,0.0948
76,7k0wVBW3cvV6Xmb87JikIf,0.0254,0.553,0.727,0.0113,0.107,0.8849166666666667,1.0,0.0348,0.8698600000000001,0.286
77,61W7tEpxEfmizp6V5ZRN10,0.866,0.369,0.272,0.0,0.147,0.8250500000000001,1.0,0.0364,0.864645,0.218
78,6fMZJZqhauwGrwobkPZVJ7,0.00134,0.689,0.723,0.000995,0.0682,0.8751166666666667,0.0,0.034,0.5202100000000001,0.415
