,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0pdfN7nOHMYmKykzu1cyfm,0.207,0.592,0.725,0.0,0.148,0.8550333333333333,1.0,0.0412,0.391175,0.784
1,3EiXWMUIE0bNNo36suPrRQ,0.194,0.59,0.686,0.0,0.2,0.8833666666666666,1.0,0.0364,0.896935,0.733
2,6iy4PoAuZBMvtrlDX4VxC7,0.0551,0.708,0.524,3.21e-06,0.0371,0.7892666666666667,1.0,0.0352,0.55741,0.69
3,18BajNiyvH6GpYshB0unrm,0.351,0.585,0.793,0.0,0.3,0.9381166666666667,1.0,0.0322,0.669195,0.732
4,6Lmx6bz3PGYuNSjKMnYBOa,0.0471,0.607,0.815,2.81e-05,0.111,0.8896833333333334,1.0,0.039,0.684745,0.57
5,6leiB1fEsTnVCuPiielde5,0.378,0.507,0.85,0.0,0.0567,0.90535,1.0,0.0472,0.8590000000000001,0.847
6,2ulBBx6YQ3qY3ci34RadtN,0.522,0.783,0.698,2.52e-06,0.0754,0.8622,1.0,0.0323,0.62498,0.758
7,5hM1QVRktYjJHo1LYr9YhZ,0.289,0.721,0.588,0.0,0.053,0.80435,0.0,0.0304,0.519505,0.855
8,5Pgwi0iizu96RHxJ4xL3SH,0.314,0.572,0.449,0.0,0.0301,0.8905666666666667,1.0,0.0264,0.61316,0.207
9,2MiXC2LfpsoeUP5RvMGEQ3,0.52,0.428,0.51,8.32e-06,0.105,0.8050833333333334,0.0,0.103,0.8498350000000001,0.393
10,2M38X60UJnupGPbFTkVPNQ,0.596,0.735,0.488,1.1e-06,0.0949,0.824,1.0,0.026,0.511915,0.452
11,40XW3d74CGOrWPcNpJDeUi,0.772,0.568,0.0985,1.18e-06,0.0917,0.7392833333333333,1.0,0.0322,0.66385,0.194
12,59kHPbwyyCApYA8RQQEuXm,0.362,0.606,0.706,0.0,0.16,0.8389166666666666,1.0,0.0379,0.8726649999999999,0.819
13,0kJeo33oWW6Nx4tkUNPshJ,0.0332,0.655,0.837,0.00223,0.111,0.8988,1.0,0.0355,0.57969,0.708
14,4YS5ECd4qRZSA8NHqHiWD4,0.229,0.771,0.675,0.0,0.366,0.8683333333333333,1.0,0.0457,0.6916100000000001,0.757
15,6sxptembJVty4sNtcPMAVz,0.581,0.657,0.639,0.0,0.278,0.8745499999999999,1.0,0.0412,0.62441,0.674
16,0FtV0YbnnjD7PXpLHFHPhn,0.226,0.674,0.517,0.0,0.0697,0.8129166666666667,1.0,0.0726,0.47490000000000004,0.482
17,1CxG3QsfkmcUYlxWwvOtz5,0.169,0.623,0.91,0.00267,0.317,0.9118333333333333,1.0,0.032,0.7573300000000001,0.929
18,3rXCZRMiMZp0feGcYXpwYX,0.365,0.467,0.622,0.00527,0.0982,0.8790833333333333,1.0,0.031,0.82209,0.455
19,1x3Sxgpq3MIyZUi9v2W1ZT,0.52,0.618,0.62,0.0,0.0722,0.7942166666666667,1.0,0.0289,0.7188500000000001,0.9
20,65N3RYCN1DgfY0Zcv5k9kr,0.115,0.721,0.735,0.0,0.0499,0.8025166666666667,0.0,0.0284,0.637875,0.961
21,6HveTIMynTMzTc5L0TcS20,0.752,0.514,0.243,0.00054,0.0822,0.7942,1.0,0.0288,0.8590800000000001,0.388
22,5FxgRnXBHMM0q4stwqrjjM,0.183,0.644,0.868,0.0,0.322,0.9336666666666666,1.0,0.0464,0.6718999999999999,0.642
23,44YTMbU3aqvE7q09rjyUb3,0.122,0.644,0.748,0.000114,0.112,0.89495,0.0,0.0253,0.580415,0.554
24,39IoZIC8eEirT1v70rqSPq,0.208,0.616,0.723,0.0,0.181,0.8924833333333333,1.0,0.0913,0.802625,0.859
25,3wjD3Ufjll7UKrEDPdGuX3,0.437,0.495,0.695,0.00048,0.0734,0.8845166666666666,1.0,0.0318,0.36828000000000005,0.496
26,7ojVoUWBAUP701iFpdKnFu,0.229,0.72,0.918,0.0,0.159,0.94625,1.0,0.0408,0.625455,0.955
27,08c3wmdjKSjxTJY9cHSts7,0.176,0.711,0.642,0.0,0.0814,0.8515166666666667,1.0,0.0319,0.629155,0.762
28,70F5udyYiBvAnv2FsypjfR,0.236,0.534,0.742,0.000158,0.278,0.856,1.0,0.041,0.996105,0.728
29,1Ov6koHfZL43pGCDdfIoHf,0.191,0.632,0.615,0.00103,0.153,0.8171333333333334,1.0,0.0262,0.705365,0.912
30,1nVoLxz8C0uGgMKfywy0vf,0.257,0.712,0.63,6.65e-05,0.0999,0.8966333333333334,1.0,0.0299,0.59189,0.768
31,1EeiU786etAktiW4uyGXiz,0.674,0.503,0.321,0.0,0.0868,0.8333333333333334,1.0,0.0272,0.681975,0.271
