,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6BhXU6XZMOZ4wz3tUcgkai,0.475,0.462,0.611,0.0,0.0989,0.92565,0.0,0.0341,0.749815,0.418
1,5KmQTbZx32wyekcRD0pllw,0.278,0.394,0.608,0.0,0.133,0.8973666666666666,1.0,0.0417,0.42328000000000005,0.42
2,1jvX9QdqLLwQUguKzR0Ad6,0.0492,0.57,0.53,0.0,0.398,0.8881,0.0,0.0382,0.7895650000000001,0.425
3,0ykTXKId7W9ck0caUEiRuV,0.0576,0.46,0.79,0.0,0.117,0.9359,1.0,0.0513,0.801255,0.214
4,6qKbhIsM00FFhI1OKi74V7,0.0895,0.579,0.479,0.0,0.103,0.8692333333333333,1.0,0.0338,0.740325,0.324
5,5DNwRUi8xJW6CWiqOBCVu7,0.033,0.711,0.61,0.0,0.0904,0.8973,0.0,0.113,0.7399800000000001,0.739
6,3NRIwbb9GycU284G6MCZkM,0.0581,0.502,0.612,0.0,0.165,0.8924166666666666,1.0,0.0363,0.39986,0.289
7,5hP9ouI6yMgG1EPq1hs76t,0.0465,0.554,0.831,0.0,0.28,0.939,1.0,0.0312,0.480195,0.777
8,6QxCukBNDLBW8sAVkt4Qri,0.0847,0.672,0.765,0.0,0.691,0.8780666666666667,1.0,0.0553,0.5246,0.538
9,1bfRXeYRGJF8aCxUpQ4yOq,0.226,0.453,0.704,0.0,0.118,0.923,1.0,0.0351,0.72002,0.271
10,16wE3WBFw9y60QxIinwDgy,0.657,0.279,0.155,0.000162,0.0853,0.7605333333333333,1.0,0.0318,0.6884250000000001,0.0496
11,6hl8sfNAe5rgNzGLg7N7PH,0.145,0.703,0.586,3.42e-05,0.0727,0.89955,0.0,0.0436,0.5005700000000001,0.234
12,3xOyi75MAC8yELVqWBFGKg,0.0766,0.539,0.68,0.0,0.147,0.9270666666666667,1.0,0.0407,0.675295,0.265
13,34D9sGQt8RpdUNEyuoV9Nq,0.00865,0.529,0.785,9.94e-05,0.0797,0.883,1.0,0.0377,0.69009,0.387
14,5ixUmWYbX1AVgt3SAjAc9T,0.117,0.616,0.697,0.0,0.114,0.8906833333333333,1.0,0.0343,0.564785,0.293
15,3iFbRKq1x2SrPqAUX7QGsp,0.258,0.618,0.659,0.0,0.0751,0.8819833333333333,0.0,0.2,0.7993399999999999,0.55
16,4pR4oQJULf7FDB54TleMyH,0.241,0.443,0.778,0.0,0.215,0.8739333333333333,0.0,0.266,0.64125,0.628
17,3snRykYAjByFhJpOkfYodN,0.127,0.347,0.64,0.0,0.606,0.9018333333333334,1.0,0.0536,0.626485,0.294
18,4x2z65CsWpM2Kuxt2RQ8rj,0.0203,0.518,0.841,0.0,0.0676,0.9042666666666667,1.0,0.0503,0.750165,0.464
19,3HzNYPLR7TB2PkDak8kVEN,0.335,0.443,0.532,1.16e-05,0.129,0.8754333333333333,1.0,0.029,0.7497450000000001,0.249
20,2C9FM0zZmWp4au1kWwiqZ3,0.00397,0.491,0.857,0.0,0.89,0.8911666666666667,1.0,0.0523,0.735115,0.341
21,1gIFVl1aHTD5A3TPKtOTVC,0.0251,0.571,0.827,4.02e-05,0.0654,0.91645,1.0,0.0532,0.594635,0.183
