,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,5auKzb2kuqO3lTcoybxVJI,0.819,0.685,0.558,0.000127,0.108,0.9134666666666666,0.0,0.109,0.7044199999999999,0.691
1,5gcsJvWzuPMeJBQYdiO0RS,0.0934,0.672,0.58,0.0,0.103,0.9056666666666666,1.0,0.234,0.55775,0.116
2,0eUP5Pyd69bv6uqTLFgF3m,0.366,0.674,0.724,0.0,0.103,0.9077500000000001,0.0,0.0856,0.569855,0.315
3,2TSfStvlAMLw89u3tali79,0.149,0.66,0.373,0.0,0.106,0.8294333333333334,1.0,0.595,0.8395600000000001,0.35
4,6QCWPC6OFUxuoaMtRe573z,0.0491,0.767,0.611,0.0,0.113,0.9058833333333334,0.0,0.372,0.78974,0.626
5,1QQa1xdCx4t9DUgQH21Xoo,0.0986,0.884,0.665,0.0,0.0865,0.90665,1.0,0.414,0.7049850000000001,0.462
6,7HxF1E8NUO3eugSGCmojmd,0.0524,0.652,0.768,0.0,0.309,0.89855,0.0,0.186,0.7750549999999999,0.529
7,68ccsqXPhYGGTQ1RVDDtOh,0.0136,0.594,0.568,0.0,0.178,0.8621166666666666,0.0,0.226,0.415595,0.343
8,6lTwy0Ri81LRujvv5mEHTg,0.217,0.559,0.418,0.0,0.149,0.8206333333333333,1.0,0.504,0.408885,0.107
9,3LtpKP5abr2qqjunvjlX5i,0.38,0.911,0.573,0.0,0.403,0.8761666666666666,1.0,0.288,0.7001999999999999,0.972
10,5A5XZ49RusDpRHlltXB4f5,0.128,0.807,0.722,0.0,0.207,0.90205,0.0,0.461,0.39007,0.508
11,5sB27YGIsK9zBi0uVfjOek,0.0294,0.603,0.683,0.0,0.298,0.8611833333333333,1.0,0.162,0.414645,0.366
12,3zBPVGFXHKDWgbo7jhrZbY,0.00193,0.856,0.573,0.0,0.269,0.8619166666666667,0.0,0.321,0.65011,0.148
13,6qg6FiJXghvGugTnItB4Lv,0.65,0.634,0.627,0.0,0.316,0.9167833333333333,1.0,0.287,0.841225,0.549
14,1HVVrtjLvEQx8oinUYI5Nv,0.077,0.465,0.546,0.0,0.314,0.8541833333333333,0.0,0.295,0.48943,0.186
15,15MObTsMBIdr35hEa4Fgz4,0.119,0.8,0.675,0.0,0.236,0.8826,1.0,0.187,0.65931,0.475
16,3nixei9buXWmxkA4BjX8k4,0.0358,0.684,0.77,0.0,0.118,0.9163833333333333,1.0,0.315,0.71124,0.748
17,4L1zI1GJxi0Qq38aSYmsS0,0.177,0.906,0.807,0.0,0.11,0.92665,1.0,0.294,0.484805,0.813
18,7Fp4m0ZcpES3hb99q4WQII,0.372,0.753,0.491,0.0,0.182,0.82385,0.0,0.256,0.7151850000000001,0.577
19,0WSGHNx7oMYAV2WAJzLhQf,0.0675,0.853,0.54,0.0,0.129,0.8796166666666667,1.0,0.328,0.7399450000000001,0.422
20,7ci1R1e89Zw0HumjHSN5XF,0.0756,0.813,0.499,0.0,0.1,0.8512333333333333,0.0,0.446,0.447575,0.537
21,0Ls2AaWYmU2LRzWAmFdlkc,0.14,0.922,0.435,0.0,0.0962,0.8672833333333333,1.0,0.189,0.519995,0.863
22,1zTsj09nN6RamZRO8W8Ssb,0.423,0.815,0.55,3.24e-05,0.137,0.85175,1.0,0.0652,0.524885,0.214
23,4wS4YABWUMDxcbImu3llWL,0.254,0.982,0.857,3.99e-05,0.0416,0.9472833333333334,1.0,0.219,0.55993,0.581
24,7awx72vZdHjV6xoCBveAK5,0.295,0.424,0.904,0.0,0.292,0.9392333333333334,0.0,0.296,0.40236,0.648
25,5cx7vkF8BQ0iOsVpfvZbnz,0.2,0.869,0.298,0.0,0.0753,0.7987333333333333,1.0,0.386,0.38734999999999997,0.178
26,5HyHnZ6aSdORxyY24BWkdo,0.107,0.623,0.858,0.0,0.318,0.94465,0.0,0.101,0.7752800000000001,0.635
27,3HEpCfvOH619LRMUTx2NxR,0.00806,0.776,0.724,0.0,0.304,0.8965333333333333,1.0,0.309,0.7097549999999999,0.47
28,7I3VPjpsYDKxKFbxSTZbAb,0.0718,0.669,0.365,0.0,0.117,0.8068,0.0,0.67,0.83946,0.75
29,2C2LbwwnbtWuK396MKRERV,0.116,0.773,0.61,0.0,0.0779,0.8674,0.0,0.365,0.388125,0.708
30,2YVscnKcfmlc2fl89FlX5h,0.0239,0.771,0.772,0.0,0.1,0.9349166666666666,0.0,0.0878,0.6599250000000001,0.269
31,3NWOO9SW0Irf9aUUC3om4i,0.265,0.828,0.653,0.0,0.105,0.8979833333333334,1.0,0.209,0.48524,0.429
32,1vehZ3FrmhbxX5oh9ZdO0c,0.349,0.473,0.785,0.0,0.148,0.9023166666666667,0.0,0.317,0.492695,0.384
33,6EbVuwU7EnKeF2hdpViXCH,0.827,0.808,0.582,0.0,0.111,0.8956666666666666,1.0,0.338,0.387355,0.675
34,0C8yEqa9DemIs3nm5YuzHw,0.00601,0.619,0.707,0.0,0.0946,0.8661166666666666,1.0,0.099,0.426425,0.365
35,6yo90VmiX3oiCAZJfZQspi,0.0608,0.681,0.686,0.0,0.0857,0.8813666666666666,1.0,0.299,0.37597,0.175
36,7EvNBhI2uO0GunCCbzo2PI,0.00341,0.715,0.551,0.0,0.26,0.9010666666666667,1.0,0.411,0.8088500000000001,0.23
37,1NVp7VnSVUJalgIBCIkh0w,0.0758,0.863,0.499,0.0,0.104,0.8566333333333334,0.0,0.514,0.40036499999999997,0.76
38,1kTUHCB8NPqAPSnI5D1YIG,0.359,0.776,0.461,0.0,0.238,0.85865,1.0,0.206,0.38264000000000004,0.679
39,5teSgJfTCFK0ngDASJb99U,0.187,0.706,0.637,0.0,0.199,0.8789833333333333,1.0,0.35,0.38031,0.289
40,6AH8UiIUKp6PXxXUXwB1HA,0.0423,0.805,0.432,0.0,0.134,0.8398,1.0,0.225,0.6648350000000001,0.0798
