,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,5EcZL9ug4iU6C7Dqqfixgt,0.994,0.426,0.0303,0.897,0.0926,0.5293,1.0,0.0506,0.49334000000000006,0.111
1,2XPxkVgxyj4QVaW78kS5vb,0.994,0.216,0.0575,0.951,0.109,0.5673333333333332,0.0,0.0501,1.03343,0.151
2,2UscVwaSo0fbaX5QxVgqH8,0.995,0.431,0.00807,0.932,0.112,0.5036166666666666,0.0,0.0459,0.38872500000000004,0.334
3,2bjQvSk5T3A2dmnqqeRhzI,0.993,0.307,0.0381,0.945,0.104,0.53005,1.0,0.0423,0.362265,0.0631
4,63oFS9JTsvadCXUqwqA7p0,0.99,0.47,0.0593,0.934,0.104,0.52395,1.0,0.0355,0.56709,0.178
5,0yccHAlypw9zM9Pf33lLjd,0.993,0.334,0.0203,0.919,0.0917,0.4606,0.0,0.0325,0.44198,0.351
6,70pC9IQb39VDNUm3Uio5kD,0.994,0.441,0.018,0.952,0.116,0.5474333333333333,0.0,0.0456,0.53897,0.204
7,2p5THyuNwpJ9c7ex3TN383,0.903,0.304,0.0902,0.907,0.111,0.4529333333333334,1.0,0.0489,0.572435,0.318
8,2HwCcCi8Up9NECNBRt0yTV,0.991,0.356,0.0186,0.929,0.0996,0.5545166666666667,1.0,0.042,0.423765,0.154
9,5DezuV0RFcMcgA11UGdGBR,0.99,0.419,0.043,0.954,0.105,0.5087166666666667,1.0,0.0372,0.909715,0.375
10,4b4DLYtksvYepzKqdgSkAz,0.99,0.477,0.0343,0.887,0.109,0.5453833333333333,1.0,0.0406,0.358155,0.134
11,3ZvBA6TQA4CTOZNOyxou90,0.98,0.31,0.0352,0.908,0.0978,0.5310166666666667,0.0,0.0336,0.7867149999999999,0.148
12,0B5emsAmwLIx51EPR5W90G,0.981,0.376,0.0714,0.839,0.0978,0.6105166666666666,1.0,0.042,0.466385,0.0744
13,0sCPbmOcdRcTWVDjHh22id,0.973,0.308,0.00889,0.936,0.112,0.5277166666666666,1.0,0.0397,0.716155,0.11
14,3y3GMygxjeZ8VQDfEoyKh7,0.984,0.284,0.0274,0.896,0.11,0.5340333333333334,1.0,0.0606,0.6426850000000001,0.0459
15,4xqtdONrwig5n3JGVBz1nv,0.995,0.486,0.046,0.943,0.0892,0.5431833333333334,0.0,0.0418,0.33413,0.167
16,1ihUUaEazz6DAxb9ZX7Thh,0.996,0.385,0.0217,0.951,0.0731,0.5445,1.0,0.0502,0.632245,0.162
17,2laiFYFccYEb3TS39Fhufw,0.992,0.376,0.0335,0.967,0.0928,0.5315333333333333,0.0,0.0635,0.6354500000000001,0.131
18,0OyfmSpjOUz6k0swecwQEw,0.985,0.447,0.0136,0.931,0.108,0.5567,1.0,0.0432,0.338295,0.14
19,7Jrx30VldPaujIaP3c2SJn,0.995,0.475,0.134,0.935,0.115,0.6350833333333333,0.0,0.0411,0.43422,0.115
20,4CK2atgvodyG3xJPXXt58U,0.995,0.469,0.0658,0.95,0.101,0.5179,0.0,0.0488,0.559345,0.187
21,7guzWL6scF2bIRud4Mfk9Y,0.994,0.362,0.107,0.972,0.107,0.6205,0.0,0.0443,0.43971,0.363
22,2iADUGfIsYKXNmZtkxScdH,0.98,0.337,0.0708,0.927,0.109,0.51505,0.0,0.0317,0.6523950000000001,0.188
23,1sINJB2tVaHV5r3iKCACHv,0.99,0.319,0.0367,0.942,0.102,0.5128333333333333,0.0,0.0481,0.69392,0.0556
24,0c3pAQGKjwHKo9ilC8i8c5,0.994,0.361,0.0291,0.975,0.106,0.5561,1.0,0.0386,0.38487499999999997,0.127
25,0ZZcxfVdAMt4TkyUY5y4eF,0.988,0.489,0.0547,0.954,0.0974,0.5096499999999999,0.0,0.039,0.35389000000000004,0.0563
26,5vz0Vls8TbtlI58CHQrIpb,0.989,0.515,0.048,0.935,0.1,0.4775666666666667,0.0,0.0408,0.49296999999999996,0.0944
27,4ngpD9qM5EinF3KKKoyZDB,0.993,0.505,0.0424,0.906,0.089,0.5430166666666667,1.0,0.0598,0.404825,0.392
28,5YB0FJ63K0g5ZXw0BN4HXF,0.992,0.315,0.0251,0.974,0.119,0.49873333333333336,1.0,0.0407,0.584885,0.144
29,5eEYSPaVwg4Fe1KCMYunQf,0.988,0.557,0.0395,0.923,0.121,0.5655666666666667,1.0,0.0419,0.420085,0.183
30,3VHGpDGB6roBImYAY5fjcS,0.983,0.293,0.0427,0.946,0.124,0.5645666666666667,1.0,0.0652,0.6916500000000001,0.218
31,0yBjtQdUb2T281UIF5hUMU,0.993,0.529,0.0696,0.97,0.0894,0.5386833333333334,0.0,0.0668,0.362045,0.3
32,0Nxz7Bf7EZgGVzaH4McTd2,0.992,0.361,0.0364,0.932,0.0955,0.5383333333333333,1.0,0.0421,0.46313000000000004,0.186
33,78qaTDD6WW9NnnaFJfP6wa,0.993,0.433,0.0441,0.942,0.106,0.5301,1.0,0.0469,0.452285,0.0968
34,4XhZgQHy6yNEB5M3NhZXAG,0.992,0.48,0.0171,0.942,0.0908,0.526,1.0,0.0357,0.485595,0.136
35,445KHitEvap0tspDZ3C78V,0.982,0.366,0.0716,0.889,0.102,0.5593333333333332,0.0,0.0416,0.52927,0.172
36,7uN2L2nq8gfUBOUfHtSkQX,0.993,0.353,0.00904,0.93,0.104,0.4716,1.0,0.0515,0.392395,0.161
37,7e9rtvEfKg3QkMkZrZtTnW,0.969,0.325,0.0546,0.974,0.113,0.5695666666666667,1.0,0.0329,0.6065550000000001,0.127
38,6s9UzXWwA7m8z3LcY5z8QM,0.988,0.435,0.244,0.921,0.111,0.5705166666666667,1.0,0.0427,0.5078349999999999,0.269
39,54MnM9dYvVaV9jAZLcZu7P,0.996,0.376,0.0851,0.963,0.101,0.5948166666666667,0.0,0.0471,0.44160499999999997,0.265
40,025aQi6Ffw676y8m4zLPk7,0.992,0.464,0.0639,0.927,0.0829,0.5662,0.0,0.0385,0.5599649999999999,0.317
41,0t0X7v3Qcq7wMviNjWaWDO,0.96,0.354,0.097,0.939,0.109,0.6126,1.0,0.0345,0.552885,0.325
