,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0qZcBeIKskV61K1ekFJcar,0.811,0.55,0.741,0.923,0.106,0.8088500000000001,0.0,0.0594,0.8668,0.691
1,7atmsefAJDBe9Sq3fzWGiz,0.099,0.527,0.642,0.732,0.142,0.8704166666666666,0.0,0.0434,0.531585,0.244
2,0ykQscPscfZzjQkRqRettF,0.000177,0.637,0.928,0.783,0.072,0.8912166666666667,1.0,0.0732,0.6373449999999999,0.589
3,0N6noOclDGBs4047Swoxak,0.124,0.536,0.815,3.31e-06,0.132,0.8812,1.0,0.227,0.7655,0.541
4,7FDaEE1FwngGOXeqza7mOS,0.00152,0.261,0.574,0.829,0.109,0.81755,0.0,0.038,0.615205,0.252
5,4vYtxQqgDbU6HcdIZFaV89,0.239,0.553,0.615,0.0,0.101,0.8528666666666667,1.0,0.442,0.899585,0.85
6,0K7jwOQTRiol9tWhFeEmb5,0.796,0.492,0.561,0.945,0.0607,0.80545,1.0,0.0346,0.53362,0.521
7,7DeHntkvsBQKa9gHF2Lifb,0.965,0.343,0.197,0.917,0.0623,0.76075,1.0,0.0379,0.528765,0.207
8,6yrGyCwvV4zJyIbdtdyW7p,0.545,0.44,0.459,0.473,0.0924,0.8424833333333334,1.0,0.0296,0.608875,0.287
9,1tuo8ma3uzlxaIamUwPG39,0.789,0.46,0.49,0.873,0.204,0.8069,1.0,0.0391,0.68089,0.462
10,4X41g2qYikss19onM4xH6F,0.957,0.442,0.126,0.695,0.164,0.6414833333333334,1.0,0.0355,0.54381,0.132
11,6OquGsVTLqZHyxqG0PLwFz,0.792,0.542,0.485,0.00198,0.102,0.78115,0.0,0.439,0.8741800000000001,0.698
12,1lLEiBayOjUDTTIKp9Ef4A,0.811,0.674,0.307,0.912,0.13,0.8116,1.0,0.0484,0.43991,0.168
13,0KR1fIsVTVSh0lv88KWzX6,0.867,0.348,0.298,0.738,0.076,0.7483333333333333,1.0,0.0305,0.74375,0.139
14,6O5WxhFGEdNVRJw7vnwhiy,0.15,0.534,0.552,0.923,0.0842,0.82555,0.0,0.0333,0.7535550000000001,0.966
15,1w8R8ktBN372wpT5UOCZzT,0.0584,0.372,0.746,0.0462,0.0997,0.8751166666666667,1.0,0.0526,0.470655,0.533
16,2pzYZWGwjOZRPWabMxR2K5,0.419,0.691,0.462,0.781,0.11,0.8243333333333334,0.0,0.0342,0.532925,0.421
17,6vv87FsmQpbakkEQUm3G3n,0.13,0.639,0.663,0.879,0.0875,0.8379333333333333,1.0,0.0977,0.475485,0.603
18,6TCxTdyXZPcB17kqpJQzFP,0.186,0.781,0.668,6.88e-05,0.095,0.8674333333333333,1.0,0.0673,0.575,0.754
19,1gV8QrtNcbTpOim6EE6qza,0.757,0.524,0.552,0.827,0.085,0.8060833333333334,1.0,0.0322,0.59724,0.486
