,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6kAOsnRUgp21bPiUoVZeuJ,0.000197,0.316,0.869,0.199,0.133,0.9292666666666667,0.0,0.0642,0.84958,0.302
1,54bm2e3tk8cliUz3VSdCPZ,0.00067,0.539,0.828,0.421,0.154,0.8482,0.0,0.035,0.52625,0.562
2,2HZLXBOnaSRhXStMLrq9fD,0.000235,0.466,0.9,0.00104,0.103,0.9255166666666667,1.0,0.0447,0.6501,0.561
3,68NSPuJBBVEUKIUSd8pKUb,0.000156,0.466,0.958,0.000113,0.117,0.92925,0.0,0.0418,0.7060850000000001,0.615
4,6t9dKRzqOZ2HFyyxje5H8K,0.013,0.526,0.88,0.000999,0.0956,0.9213166666666667,0.0,0.0736,0.658695,0.15
5,0L7zm6afBEtrNKo6C6Gj08,0.000195,0.435,0.987,0.0847,0.268,0.9222166666666667,0.0,0.16,0.5158,0.101
6,50iNloLV9uEyEvVzuwl6kz,0.00283,0.522,0.954,0.197,0.119,0.8922,1.0,0.0514,0.52506,0.329
7,0iqJIE15UsLphh2BdZ3aoh,0.000152,0.445,0.914,0.0,0.549,0.91665,0.0,0.0494,0.6751600000000001,0.587
8,1GWtUkDQk7XC35r7kTPfqx,0.00038,0.382,0.954,0.776,0.244,0.9194833333333333,1.0,0.0417,0.909665,0.513
9,11ajcVj3qSyyMPUpTJUP3y,9.2e-05,0.432,0.886,4.74e-05,0.338,0.9334833333333333,1.0,0.0341,0.38020000000000004,0.248
10,1x9jqnd7tU7qRS2Uwt5PIx,0.000295,0.391,0.942,0.715,0.181,0.8667,1.0,0.0633,0.7999200000000001,0.322
11,6lIhdsIjY6iFPq6qZW2LIP,0.00158,0.402,0.912,0.000179,0.0923,0.9092166666666667,0.0,0.0442,0.450225,0.566
12,7gIs1Ue6FogVrKVmK7Eajj,0.000189,0.524,0.937,0.00696,0.121,0.9133166666666667,1.0,0.0607,0.584885,0.394
13,1dV3QltW7QIUXbH1u9JXhP,3.76e-05,0.441,0.994,0.000323,0.431,0.9573,0.0,0.132,0.6249750000000001,0.212
14,0FcbEF2c45mID7o7IJ0qM6,0.00141,0.245,0.972,0.68,0.131,0.8935500000000001,1.0,0.0739,0.5296949999999999,0.107
15,25ZqVu02DsxzWkBCM3HSH8,0.00839,0.571,0.905,0.00162,0.109,0.8724000000000001,0.0,0.0513,0.44049,0.457
16,4CbZ37zpHKk3FQuV7bRVHB,1.5e-05,0.465,0.991,0.00937,0.216,0.91975,0.0,0.115,0.5999300000000001,0.134
17,5yxBjLv4Zh3VLp4kSvoZyG,8.26e-05,0.368,0.951,3.66e-05,0.203,0.90045,0.0,0.105,0.9201550000000001,0.0796
18,6qopop1Rc9r1RjEIBQhc8d,1.69e-05,0.521,0.915,0.43,0.065,0.9049166666666667,0.0,0.0544,0.562535,0.336
19,5VZwMq6yaFb04PCTfdNY3K,0.000333,0.477,0.859,0.000155,0.265,0.85625,1.0,0.0387,0.455045,0.629
