,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2mqTtvbKxH7SoEQ2oGAnsA,0.0381,0.792,0.919,5.1e-06,0.368,0.9052,1.0,0.276,0.46014000000000005,0.22
1,5ildQOEKmJuWGl2vRkFdYc,0.184,0.919,0.623,1.63e-05,0.0609,0.8913166666666666,1.0,0.0992,0.650185,0.775
2,6gdDu39yYqPcaTgCwYEW8i,0.0125,0.683,0.887,0.446,0.318,0.9176,0.0,0.0497,0.660035,0.551
3,3GdWfmQBiiJrDUvSZS1bGv,0.00639,0.819,0.651,0.0,0.122,0.90285,1.0,0.169,0.699785,0.501
4,22PTmk4mzAVi92WiQPAcFp,0.371,0.728,0.707,0.00107,0.126,0.9151666666666667,0.0,0.0436,0.48011499999999996,0.802
5,4ur8qEgQgCCZaD1Jf4XRMF,0.0579,0.622,0.533,0.0,0.152,0.8141833333333334,1.0,0.0452,0.8502,0.363
6,4Hxcb6wDlelhZpk5fc5jmD,0.283,0.387,0.728,0.00516,0.108,0.9111666666666667,1.0,0.053,0.61675,0.129
7,3QK2bbLCTGoFXFt64e5TBY,0.0283,0.816,0.8,6.03e-05,0.129,0.9049166666666667,0.0,0.0733,0.59007,0.534
8,3HyR1j49TY5ACP2lseF1jx,0.0843,0.674,0.625,0.0015,0.11,0.8401166666666666,1.0,0.0514,0.60002,0.208
9,6x3gud5JkOSGYJpRUYN1Gg,0.00124,0.726,0.508,0.0,0.204,0.8721666666666666,1.0,0.0869,0.7498950000000001,0.173
10,3ZcLmonVVD1MTQtmQb8yf3,0.416,0.815,0.845,1.54e-06,0.117,0.8861333333333333,0.0,0.0457,0.64937,0.955
11,0FZUbqZ1x2G71vl027d8Ud,0.0058,0.852,0.592,0.0,0.375,0.8922666666666667,1.0,0.105,0.51007,0.237
12,23oYG6HAbahMQEtjk0M7GK,0.696,0.58,0.485,0.0,0.0959,0.9093666666666667,1.0,0.0312,0.568985,0.158
13,0aJq40QZqvfGubgfKy5knk,0.0629,0.556,0.724,0.0369,0.112,0.9144666666666666,1.0,0.029,0.40503500000000003,0.55
14,7lxfdfIocUHefodQ8JLyfk,0.66,0.501,0.231,0.0,0.282,0.8880333333333333,1.0,0.0437,0.77278,0.227
15,1xzi1Jcr7mEi9K2RfzLOqS,0.0368,0.78,0.689,9.69e-06,0.0698,0.9055333333333333,1.0,0.141,0.57521,0.642
16,32il27dOrLpIru8Evp4Pu7,0.0154,0.617,0.514,0.0,0.118,0.8816833333333334,1.0,0.0722,0.40533499999999995,0.365
17,5EeFkn825wcD3q2Tkk2vCu,0.106,0.666,0.632,0.0,0.35,0.8546666666666667,0.0,0.123,0.6497799999999999,0.127
18,0hPRWztAIbNkt6GcFcLiqF,0.122,0.877,0.826,1.05e-05,0.104,0.9375,0.0,0.206,0.375015,0.814
19,1l4iQsOZ5sOXZPMQLvouaB,0.0262,0.701,0.875,7.32e-06,0.137,0.9316666666666666,1.0,0.0757,0.55988,0.84
20,33vZRjxJScapmRShRJq8I0,0.369,0.667,0.593,0.0,0.112,0.8997333333333333,0.0,0.0432,0.479735,0.458
21,5uDo40mspcWNHDCLlKTLoJ,0.0211,0.516,0.726,0.0,0.0856,0.9247333333333333,1.0,0.0456,0.760445,0.503
22,1c30r2e9SgkvjikuJBR7ms,0.00771,0.595,0.771,0.000185,0.334,0.8916666666666666,0.0,0.0437,0.7947299999999999,0.489
23,6OquGsVTLqZHyxqG0PLwFz,0.792,0.542,0.485,0.00198,0.102,0.78115,0.0,0.439,0.8741800000000001,0.698
24,1lLh3yUgjjt7GrtGgFdA11,0.613,0.575,0.562,0.0,0.0968,0.8416666666666667,1.0,0.258,0.8624850000000001,0.902
25,79HZAZNnOE97rb2hnI0XQr,0.21,0.834,0.828,5.91e-06,0.103,0.9557166666666667,0.0,0.0452,0.5100950000000001,0.58
26,5WliMybG9GxcxbYGF5S5tr,0.0298,0.26,0.781,1.14e-06,0.0697,0.93115,1.0,0.0621,0.870595,0.142
27,4iy69rTUn8cAY8Q8q9vfOw,0.0482,0.674,0.873,0.0,0.18,0.9290666666666667,1.0,0.0285,0.5750500000000001,0.946
28,1y8ooe9Zr1PMIxrOwNeeOi,0.00792,0.423,0.721,0.0,0.38,0.8654999999999999,1.0,0.165,0.80963,0.382
29,6LO0ryApQDcoL42O5o872S,0.455,0.866,0.565,0.000226,0.246,0.8836166666666667,0.0,0.0583,0.509925,0.549
30,0M8LvMw5ARqPvBGALIBLoM,0.182,0.73,0.368,1.62e-05,0.0782,0.8422666666666667,1.0,0.0708,0.49014,0.225
31,3Scmiyh1EaCkOmi3Ru86F1,0.0328,0.522,0.84,0.0,0.123,0.9397166666666666,1.0,0.0611,0.63513,0.169
32,16dzo8i1mlh2AkmQ4DhwXH,0.0197,0.362,0.954,0.00415,0.0609,0.9420666666666667,1.0,0.0667,0.90062,0.382
33,1klIcWCcdnwTI3fJlT5pcO,0.309,0.793,0.54,0.0,0.101,0.8949,0.0,0.0305,0.5005,0.594
34,7HxF1E8NUO3eugSGCmojmd,0.0524,0.652,0.768,0.0,0.309,0.89855,0.0,0.186,0.7750549999999999,0.529
35,0ehikRZdaCWkqg5gd8ilMJ,0.096,0.86,0.69,0.0,0.162,0.9032166666666667,1.0,0.185,0.6850499999999999,0.331
36,4gaYeHM8MrcqHU2Niw6JQc,0.0942,0.82,0.686,0.0,0.115,0.9018166666666667,1.0,0.142,0.482915,0.185
37,6jo1FMdBzPKofW4iPIdQkR,0.414,0.519,0.181,0.000327,0.0963,0.8025833333333333,1.0,0.0317,0.36973,0.155
38,5zviMoAeuerK1Rd58qXASv,0.117,0.352,0.666,1.81e-06,0.0934,0.9181833333333334,1.0,0.0512,0.849825,0.227
39,1EuCRi6fJpJykEzdpgpXVH,0.0651,0.57,0.542,6.83e-05,0.197,0.8817333333333334,0.0,0.0281,0.67482,0.445
40,6JLcvLZP4N8MRhvjG6SGaL,0.733,0.604,0.388,0.00358,0.0944,0.8555666666666667,1.0,0.0278,0.43975499999999995,0.576
41,2POwhNddOSl96QZ6TUSz7m,0.0231,0.615,0.638,0.00639,0.0924,0.9169833333333334,0.0,0.0305,0.6204350000000001,0.505
42,493u0mah1icJ3e1Tmllra4,0.141,0.587,0.893,0.0,0.256,0.9336833333333333,0.0,0.0508,0.65047,0.725
43,4yt9MUm0zxEgx6m0Nml7M9,0.0282,0.819,0.396,0.0,0.108,0.8041333333333334,0.0,0.08,0.6501300000000001,0.318
44,3zBPVGFXHKDWgbo7jhrZbY,0.00193,0.856,0.573,0.0,0.269,0.8619166666666667,0.0,0.321,0.65011,0.148
45,327BrH20DE945kxC164frW,0.107,0.9,0.795,0.00631,0.131,0.9157333333333333,1.0,0.073,0.50989,0.745
46,22QE1KHFMkl96UTjeDQ4GV,0.0282,0.611,0.837,0.755,0.104,0.8691833333333333,1.0,0.0419,0.6100099999999999,0.457
47,69c48S8phNtQZuM8ksaObz,0.0799,0.629,0.755,0.0,0.141,0.9216166666666666,0.0,0.206,0.55008,0.78
