,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6SpLc7EXZIPpy0sVko0aoU,0.00272,0.517,0.906,9.26e-06,0.113,0.9387166666666666,1.0,0.0735,0.864885,0.731
1,0a7BloCiNzLDD9qSQHh5m7,0.00523,0.622,0.961,0.0,0.0854,0.9467,0.0,0.154,0.57226,0.449
2,7lRlq939cDG4SzWOF4VAnd,0.00602,0.21,0.94,0.0,0.269,0.9428833333333333,1.0,0.123,0.89861,0.255
3,2OMqSRS11ly56zg9u5za6c,0.00105,0.431,0.95,3.63e-05,0.272,0.9180333333333334,1.0,0.26,0.9596800000000001,0.56
4,1eylM8qwVdD1AXDy3vjSgT,0.00677,0.439,0.945,0.0,0.166,0.9631666666666666,1.0,0.138,0.80977,0.455
5,4LJhJ6DQS7NwE7UKtvcM52,0.0126,0.391,0.951,0.000378,0.0878,0.87635,1.0,0.0692,0.7883,0.468
6,4EchqUKQ3qAQuRNKmeIpnf,0.00704,0.523,0.943,3.81e-05,0.0579,0.92995,1.0,0.0337,0.498035,0.766
7,5bsJbow5ouEx8bHJRr54Ky,0.00121,0.543,0.99,0.0,0.416,0.9480666666666666,1.0,0.15,0.5599000000000001,0.2
8,2WhDg8UWljoAl8oNh8uZbJ,0.0176,0.395,0.955,0.0,0.585,0.9441333333333334,0.0,0.12,0.840025,0.283
9,6pwt5G9ZKwM6I0GKVfIBb4,0.000694,0.67,0.954,0.000271,0.133,0.9561333333333333,0.0,0.0363,0.5299900000000001,0.882
10,5dJqHtAc4toOPTRX9xfOB6,0.000439,0.509,0.817,5.56e-06,0.0947,0.9088,0.0,0.0502,0.7759950000000001,0.597
11,4ExmxSUnyMzfCx4gqcfAHw,0.000558,0.312,0.975,2.97e-06,0.166,0.9177833333333334,1.0,0.302,0.875035,0.0815
12,5TjwiYZVMHVrGvRzbeCaV7,0.0144,0.803,0.83,0.0,0.103,0.9227333333333333,0.0,0.0356,0.555165,0.935
13,3gVXAW2pduBl7tzjAGUVRb,0.000124,0.261,0.822,0.000344,0.0919,0.8618666666666667,1.0,0.0358,0.516065,0.32
14,17XgxMFNzBYv38TEJRC18D,0.000143,0.359,0.935,0.0141,0.351,0.90785,0.0,0.0817,0.867145,0.658
15,1VpTwecl7EbQiGyVsvwFQE,0.000367,0.416,0.967,0.0,0.0632,0.96185,0.0,0.109,0.85516,0.431
16,20zs5ECJ4on1YqXHiDZkTN,0.00408,0.404,0.766,0.00101,0.109,0.8781666666666667,1.0,0.0325,0.71423,0.528
17,0DxN6Ywom8nnndyQXdSBPy,3.5e-05,0.382,0.932,0.0,0.243,0.9379,0.0,0.0716,0.897905,0.57
18,19cVww3dRYFzVvslJu2NtL,5.61e-06,0.453,0.892,0.00132,0.35,0.9161166666666667,0.0,0.0381,0.43005000000000004,0.586
19,0Ti2dlF2xLjXblvdU5fCxM,0.00022,0.308,0.873,0.000729,0.0974,0.9243,1.0,0.0533,0.717595,0.686
20,39ybAmRC4UsJAJpsipbNrq,0.00661,0.505,0.907,9.77e-05,0.151,0.9036666666666666,1.0,0.055,0.7648199999999999,0.413
21,0wDgnPr6qmNH3I9EGsIRu2,0.0029,0.402,0.976,0.0,0.116,0.9696166666666667,1.0,0.0712,0.750305,0.318
22,1nZx8yKG0VhuZm0N67eth8,0.018,0.607,0.918,0.0,0.259,0.9381666666666667,1.0,0.0459,0.51957,0.592
23,46pErPIiLjAWrr5uLFomA0,0.00036,0.467,0.955,0.0,0.725,0.9279,0.0,0.0567,0.572255,0.754
24,5vB0cxSvzXuVh15EDD0Cej,0.00827,0.378,0.985,0.0,0.534,0.9356666666666666,1.0,0.262,0.965175,0.41
25,4XOZaPYeMn9hcbpyS90NnD,8.48e-05,0.344,0.972,0.0,0.293,0.93875,0.0,0.116,0.8390949999999999,0.387
26,2uuTo18bRgXj3RvlbZKMvU,0.0485,0.543,0.878,0.00101,0.125,0.9001,1.0,0.0472,0.720785,0.189
27,5qtwzv99vOr5UTwnTixn7j,0.0016,0.56,0.958,4.96e-05,0.0643,0.9459166666666666,1.0,0.0412,0.64992,0.961
28,48nnqkmwmjZ7ohyShSyKAm,0.000164,0.505,0.916,0.129,0.197,0.9019666666666667,1.0,0.037,0.49493000000000004,0.271
