,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2wyVkxyQT40hOwV0iiv4Nu,0.685,0.677,0.455,1.85e-06,0.0963,0.8638333333333333,0.0,0.334,0.651555,0.788
1,1Khn7WhtkBK8ixeI95Msxx,0.577,0.479,0.552,0.101,0.11,0.8860666666666667,0.0,0.0571,0.49575,0.252
2,4xiQIdWJI5uT6772AxDe9g,0.8,0.435,0.818,0.00235,0.108,0.8740833333333333,1.0,0.485,0.676545,0.515
3,5nsNIkhHNiatcdavaoGkly,0.803,0.413,0.395,0.0,0.107,0.8289666666666666,0.0,0.068,0.8903700000000001,0.208
4,076Ang4pgcByLvOEzNpW94,0.802,0.501,0.445,0.0206,0.0597,0.8422666666666667,0.0,0.0519,0.7791899999999999,0.254
5,3nE7KhZq3bz31I7g7hvt1v,0.904,0.366,0.263,1.05e-06,0.127,0.7921666666666667,1.0,0.0337,0.686555,0.11
6,7oCmZ0X7rg3CXh2YcpW4GQ,0.797,0.509,0.331,0.0379,0.634,0.7831833333333333,0.0,0.0417,0.48027000000000003,0.187
7,2kjiX8AQZ5xlnEnNGJIhXg,0.215,0.716,0.17,0.0,0.111,0.74045,0.0,0.0719,0.339305,0.451
8,74kvijB0vU5BK44QnNb4Gt,0.114,0.656,0.556,0.0,0.262,0.9008166666666667,0.0,0.256,0.3799,0.623
9,1B3h5EIwLDMtubHLu3edCM,0.705,0.53,0.396,5.92e-06,0.0881,0.8080333333333334,0.0,0.0661,0.47680999999999996,0.923
10,7lTp8ScQlND1bNaO0ejh3r,0.0819,0.899,0.75,4.1e-05,0.0993,0.8875666666666666,0.0,0.175,0.6502500000000001,0.802
11,5fFoGKU6y3121VH0kHE3us,0.461,0.581,0.453,0.0,0.131,0.8519,0.0,0.0556,0.531075,0.328
12,1CujYPWsKTn8v8wDqh4ct8,0.171,0.881,0.425,0.000439,0.109,0.8346,0.0,0.0785,0.649975,0.78
13,5jzV13ovjoArYwbVHfn3jk,0.047,0.697,0.972,1.43e-05,0.277,0.9170333333333334,1.0,0.174,0.53498,0.722
14,22Lpeq9oezftwqZQ3p5L9v,0.226,0.692,0.644,3.76e-06,0.108,0.8688,0.0,0.0502,0.49966,0.853
15,5EQxUpN2n5MUXtqIGbUOzk,0.38,0.437,0.309,0.0,0.15,0.78455,1.0,0.032,0.500045,0.44
16,61LOAMiPICe8qewWxgALmv,0.0486,0.345,0.491,0.0242,0.184,0.8477666666666667,1.0,0.0358,0.83908,0.117
17,3FmHd3XrPO1zIkPq5QvPj5,0.251,0.725,0.611,0.000293,0.107,0.8363666666666667,0.0,0.238,0.450015,0.539
18,7jYF5A0TprR297TCg9MEOO,0.193,0.481,0.547,0.0219,0.125,0.8732333333333333,1.0,0.143,0.8418399999999999,0.363
19,5JfTnXx1mHsMiStHHlukvk,0.0125,0.484,0.757,0.0247,0.336,0.87415,0.0,0.139,0.83028,0.299
20,2Dc1QaoJm4RXo4QZXKGIK6,0.444,0.66,0.648,0.0,0.164,0.89435,0.0,0.0854,0.729545,0.309
21,6HZTp6aIfkqEp5DBJR4JIx,0.442,0.603,0.518,0.00133,0.354,0.8644166666666666,0.0,0.214,0.453455,0.46
22,71LDxxIDMvlS9Dm0Rt5ix5,0.404,0.552,0.58,0.0,0.167,0.8864166666666666,0.0,0.0456,0.576595,0.265
23,4I8ObfCV7yU7noLhxdAOWx,0.925,0.526,0.157,0.119,0.117,0.7432166666666666,1.0,0.0835,0.639875,0.305
24,63pA0dr3ekrw5BgpbW5Cx0,0.263,0.728,0.514,3.03e-05,0.268,0.8522666666666666,0.0,0.0275,0.65024,0.523
25,6HS2FQ2iVT12umo2L0mlgH,0.226,0.445,0.626,0.368,0.0603,0.87135,1.0,0.0681,0.850035,0.869
26,7FxcpthjDIN32mT0WEfkz5,0.448,0.668,0.609,1.25e-05,0.0906,0.8912666666666667,0.0,0.0653,0.850055,0.645
27,7uCtaXvAbJ89VlyWvL7qlM,0.568,0.761,0.622,1.03e-06,0.552,0.8619833333333333,1.0,0.207,0.56524,0.493
28,2zBTEnCCnHUn0MnxgqHWm3,0.296,0.85,0.425,0.000175,0.0868,0.8883833333333333,1.0,0.0448,0.585075,0.553
29,6MzuhCxlDWHedxMp1DUli8,0.0221,0.749,0.481,0.0869,0.176,0.8513833333333334,0.0,0.0302,0.52521,0.494
30,1RMXM1sFMQwybquS95cKij,0.862,0.597,0.479,0.0634,0.115,0.8013166666666667,0.0,0.055,0.524975,0.141
31,3r3TNewGNpl7zKgzk9nYTJ,0.302,0.669,0.513,0.0,0.118,0.8776833333333334,1.0,0.13,0.419825,0.225
32,17qHPhUy9pzTQtB4jBYKjM,0.149,0.594,0.55,0.0,0.126,0.9093166666666667,0.0,0.038,0.7010850000000001,0.693
33,2fbS0Ka9up4KbcndDi189l,0.257,0.372,0.308,0.0,0.0909,0.75315,0.0,0.0877,0.75736,0.333
34,075Vlu9vSFPbr15IVKPBro,0.446,0.685,0.559,0.0,0.0922,0.8774333333333333,0.0,0.092,0.525625,0.255
35,4nwSwALkSaxA26bEANsi20,0.762,0.506,0.117,0.000285,0.0838,0.5710833333333334,0.0,0.0372,0.590325,0.254
36,2lPmw51UjeCO5y9GG0m2nS,0.0384,0.465,0.721,0.0156,0.142,0.8745,1.0,0.102,0.78821,0.718
37,6vC1RB4tgLY2zgKptEYb5V,0.347,0.659,0.29,0.0,0.122,0.7757333333333334,0.0,0.0419,0.38768,0.191
38,2ZNR2irvG1LQlkp6oFXlqi,0.547,0.457,0.36,0.0,0.159,0.846,1.0,0.208,0.294775,0.736
39,4sciT4OOWK3iD41rtkrTYY,0.411,0.616,0.505,0.0,0.0975,0.8806666666666667,1.0,0.041,0.69935,0.509
40,67DaVkKniNRuYQ7gzGuOOX,0.312,0.662,0.239,0.0,0.0862,0.808,0.0,0.0577,0.71611,0.0846
41,1MxarVVd5hR6iTzv7gHEsr,0.0488,0.661,0.685,0.0,0.266,0.9317333333333333,0.0,0.0436,0.700095,0.435
42,58DpuH5jhvQSQShZcR7lC9,0.0812,0.633,0.589,0.0,0.565,0.8573333333333333,0.0,0.0526,0.57484,0.552
