,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,7snQQk1zcKl8gZ92AnueZW,0.0901,0.446,0.952,0.0857,0.112,0.9113166666666667,1.0,0.0523,0.6265149999999999,0.624
1,2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,0.805,5.69e-05,0.0842,0.89605,1.0,0.0624,0.566265,0.564
2,6H3kDe7CGoWYBabAeVWGiD,0.447,0.634,0.63,0.039,0.17,0.86205,0.0,0.031,0.59314,0.489
3,3uz0O62HqYoyRiWZjS61KK,0.00884,0.479,0.847,0.000206,0.144,0.8160666666666667,0.0,0.0984,0.45327,0.317
4,6mFkJmJqdDVQ1REhVfGgd1,0.735,0.481,0.262,0.0114,0.832,0.7378333333333333,1.0,0.0414,0.614305,0.375
5,5ghIJDpPoe3CfHMGu71E6T,2.55e-05,0.502,0.912,0.000173,0.106,0.9240666666666667,1.0,0.0564,0.583805,0.72
6,0QeI79sp1vS8L3JgpEO7mD,0.0192,0.309,0.93,0.0022,0.106,0.89335,1.0,0.125,0.979075,0.376
7,57JVGBtBLCfHw2muk5416J,0.112,0.933,0.528,0.329,0.163,0.8921333333333333,0.0,0.162,0.549875,0.756
8,5AoZknxgY6F25gAcVahO41,0.48,0.668,0.447,2.89e-06,0.153,0.8146,1.0,0.0312,0.407075,0.588
9,2zYzyRzz6pRmhPzyfMEC8s,0.061,0.574,0.913,0.00158,0.156,0.9201166666666667,0.0,0.133,0.5786399999999999,0.423
10,2Cdvbe2G4hZsnhNMKyGrie,0.326,0.535,0.716,0.0,0.659,0.91625,1.0,0.0431,0.471895,0.901
11,0hCB0YR03f6AmQaHbwWDe8,0.0484,0.412,0.902,0.131,0.405,0.8066666666666666,1.0,0.405,0.4487,0.422
12,70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,0.000133,0.129,0.8344166666666667,1.0,0.0372,0.45921999999999996,0.104
13,1nFtiJxYdhtFfFtfXBv06s,0.745,0.427,0.201,0.263,0.109,0.7826,1.0,0.0317,0.5260900000000001,0.0668
14,5MxNLUsfh7uzROypsoO5qe,0.388,0.307,0.433,9.08e-05,0.332,0.8323833333333334,1.0,0.029,0.8045,0.224
15,37ZJ0p5Jm13JPevGcx4SkF,0.0778,0.532,0.887,0.000214,0.294,0.9373833333333333,1.0,0.0335,0.612555,0.795
16,43DeSV93pJPT4lCZaWZ6b1,0.234,0.445,0.706,0.000252,0.205,0.8366166666666667,1.0,0.0461,0.40411499999999995,0.768
