,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2zyTP97uGsIc1C4KNNEkyn,0.107,0.476,0.585,1.43e-05,0.149,0.76315,0.0,0.0478,0.5513750000000001,0.523
1,0OwvrdjaJOypNsNQHyBWE5,0.555,0.513,0.826,3.48e-05,0.366,0.8598833333333333,0.0,0.0574,0.47290999999999994,0.539
2,7b8s4Z0abQQ4x4jpct4GjR,0.106,0.521,0.799,0.732,0.332,0.8001166666666667,1.0,0.097,0.879605,0.709
3,01gDLZsi0j5fWC28FLPNO8,0.141,0.584,0.975,0.501,0.101,0.8911,0.0,0.0651,0.691705,0.876
4,7a5xvCgoD8qFEQmO8Jjvtf,0.0714,0.715,0.6,0.00165,0.0876,0.8712,0.0,0.0264,0.434945,0.77
5,6LzjgzpVl0hB3YrBU1b8Z1,0.579,0.736,0.354,0.0103,0.0757,0.75485,1.0,0.0475,0.48962000000000006,0.62
6,1b63ryTONnLSP14Oytqp6p,0.000168,0.489,0.936,0.000263,0.149,0.9181833333333334,1.0,0.0533,0.559225,0.822
7,00kvKlIvfzQLSi6T2zwXuS,0.269,0.73,0.622,0.00874,0.111,0.805,0.0,0.0532,0.454865,0.752
8,6G7MHIvSDR3ehXPkuDFAlM,0.767,0.47,0.385,0.0653,0.179,0.7806833333333333,0.0,0.0296,0.561885,0.694
9,7KMILVTQdVS4zQ8ilTcpRO,0.233,0.487,0.716,0.00445,0.113,0.7051833333333333,0.0,0.0463,0.603975,0.819
10,3zYQ1KXzqBWRsxIqdVMoYF,0.0491,0.713,0.8,7.96e-05,0.0921,0.9010333333333334,0.0,0.0349,0.69971,0.814
11,6PgVDY8GTkxF3GmhVGPzoB,0.196,0.803,0.338,0.038,0.097,0.7661833333333333,1.0,0.0349,0.5342049999999999,0.912
12,7zrPswSV1yxrill5OyCuaU,0.239,0.851,0.669,0.0852,0.108,0.8406333333333333,1.0,0.0379,0.63312,0.911
13,2DccHqTquzubziHAPZRdct,0.0777,0.732,0.734,0.172,0.327,0.8237666666666666,1.0,0.0541,0.52382,0.687
14,4dUOAFN1Yk2TuslROwZcdX,0.132,0.463,0.562,1.82e-05,0.111,0.8511333333333333,0.0,0.078,0.821955,0.787
15,0PpamSdfQzIAvj5OB9Bz54,0.0615,0.62,0.763,0.0,0.289,0.9182,0.0,0.0311,0.59767,0.718
16,5lc9L9FeLBwlJPgEbq9uEw,0.672,0.681,0.897,0.0,0.1,0.9093333333333333,1.0,0.0874,0.704015,0.852
17,2aWr9QRr0pSmYFH04zngiP,0.16,0.631,0.726,9.6e-05,0.11,0.8986833333333333,1.0,0.0296,0.43533499999999997,0.623
18,5yQ9iMZXGcr5rlO4hoLsP4,0.808,0.54,0.681,0.0,0.162,0.9093333333333333,1.0,0.0508,0.441925,0.794
19,4XsH9zBWPOCdXoH9ZDdS8r,0.457,0.784,0.708,7.5e-05,0.0913,0.84765,1.0,0.11,0.60055,0.748
20,6cJZx1AeXC7CIi6xZrJQq7,0.15,0.704,0.841,0.00283,0.11,0.9044666666666666,0.0,0.0303,0.5999,0.769
21,6i34WfBMN1PHXLgkCESgSD,0.00545,0.676,0.769,0.0256,0.131,0.8309666666666666,1.0,0.0535,0.588665,0.891
22,2BydLQAh7CUIFvSEqAMc4x,0.28,0.843,0.48,0.000782,0.108,0.8071,0.0,0.0492,0.509965,0.762
23,6igsoAR6Co9u7Rq3U7mlOD,0.0195,0.623,0.824,0.13,0.0491,0.8504833333333334,0.0,0.0479,0.5567799999999999,0.574
24,2PdrcHhYBZdzP4yhkgpuhw,0.00655,0.782,0.922,0.0118,0.0728,0.9328666666666667,0.0,0.0497,0.520075,0.761
25,6DNgKv1sWH2505Z5SAqAXr,0.294,0.841,0.4,0.000367,0.0335,0.8216166666666667,1.0,0.0334,0.44797,0.855
26,5xcw2nLeZN6wfVADCJbNi2,0.285,0.632,0.861,0.000455,0.151,0.9250666666666667,0.0,0.0479,0.666945,0.9
27,7MiLmLbwNoyf47xQ4TCVYp,0.451,0.817,0.405,0.0507,0.0468,0.7747833333333334,0.0,0.0811,0.607335,0.898
28,2wYKNcoqKW4IEcllj42xz1,0.0818,0.869,0.503,0.00837,0.187,0.7866,1.0,0.0479,0.56332,0.914
29,7odHgoLFi3GQ90E9PeraI3,0.394,0.401,0.498,0.0,0.13,0.8219666666666666,1.0,0.0757,0.908505,0.816
30,44kT6XsCkSGb9wNQ5qGXvg,0.23,0.666,0.903,0.616,0.151,0.8923,1.0,0.0456,0.5592,0.913
31,6IpxLzChgCbFSJwso2Q84D,0.619,0.518,0.622,0.00992,0.513,0.8532500000000001,1.0,0.0349,0.47979,0.601
32,6iNHWlOLt4NuDi9iSvtznO,0.188,0.48,0.751,1.69e-05,0.163,0.9049666666666667,0.0,0.0383,0.8868550000000001,0.789
33,69YW4FrGpsjzt9lr517bUz,0.606,0.452,0.557,0.0,0.283,0.8850166666666667,0.0,0.0351,0.55681,0.68
34,0dMd4rilfd6gPbXaLpNYhu,0.0631,0.716,0.85,0.00133,0.189,0.8341833333333333,1.0,0.0426,0.62737,0.821
35,6Rqn2GFlmvmV4w9Ala0I1e,0.864,0.399,0.326,0.0,0.191,0.8460166666666666,0.0,0.0386,0.39603,0.546
36,1tqT6DhmsrtQgyCKUwotiw,0.272,0.711,0.362,0.0,0.127,0.81915,0.0,0.0381,0.586435,0.616
37,7DFA3k0QQtvAkItuNAwKh4,0.218,0.588,0.576,0.0357,0.172,0.88425,0.0,0.0367,0.645775,0.66
