,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2tTmW7RDtMQtBk7m2rYeSw,0.0125,0.621,0.782,0.033,0.23,0.9075333333333333,1.0,0.044,0.640165,0.55
1,4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,0.731,0.00101,0.311,0.9110333333333334,0.0,0.0557,0.86965,0.662
2,6Sq7ltF9Qa7SNFBsV5Cogx,0.0901,0.911,0.712,2.68e-05,0.0933,0.9149166666666666,0.0,0.0817,0.46002499999999996,0.425
3,1IHWl5LamUGEuP4ozKQSXZ,0.0993,0.65,0.715,0.000291,0.126,0.9133666666666667,0.0,0.253,0.53336,0.187
4,75FEaRjZTKLhTrFGsfMUXR,0.72,0.629,0.547,0.00314,0.0604,0.7812833333333333,0.0,0.055,0.541875,0.197
5,6xGruZOHLs39ZbVccQTuPZ,0.891,0.44,0.317,4.78e-06,0.141,0.8457,1.0,0.0531,0.8495699999999999,0.268
6,5Eax0qFko2dh7Rl2lYs3bx,0.141,0.801,0.475,1.73e-05,0.0639,0.8533833333333334,0.0,0.0516,0.490235,0.234
7,5ildQOEKmJuWGl2vRkFdYc,0.184,0.919,0.623,1.63e-05,0.0609,0.8913166666666666,1.0,0.0992,0.650185,0.775
8,3k3NWokhRRkEPhCzPmV8TW,0.08,0.647,0.686,1.34e-06,0.528,0.90425,0.0,0.0413,0.39964,0.268
9,6Xom58OOXk2SoU711L2IXO,0.294,0.804,0.674,1.18e-06,0.115,0.9091166666666667,0.0,0.0333,0.49984,0.292
10,4k6Uh1HXdhtusDW5y8Gbvy,0.613,0.686,0.494,5.8e-05,0.402,0.8817833333333334,1.0,0.0355,0.84473,0.7
11,02MWAaffLxlfxAUY7c5dvx,0.44,0.761,0.525,6.7e-06,0.0921,0.885,1.0,0.0944,0.40435000000000004,0.531
12,7dSZ6zGTQx66c2GF91xCrb,0.656,0.87,0.516,0.00823,0.11,0.8665666666666667,1.0,0.0541,0.555025,0.53
13,5pyoxDZ1PX0KxBxiRVxA4U,0.0581,0.693,0.887,2.71e-06,0.27,0.9160166666666667,0.0,0.0795,0.5747099999999999,0.864
14,0mBP9X2gPCuapvpZ7TGDk3,0.619,0.881,0.592,1.32e-05,0.0901,0.9183666666666667,1.0,0.0324,0.50529,0.719
15,3LtpKP5abr2qqjunvjlX5i,0.38,0.911,0.573,0.0,0.403,0.8761666666666666,1.0,0.288,0.7001999999999999,0.972
16,4h9wh7iOZ0GGn8QVp4RAOB,0.0826,0.704,0.797,0.000745,0.0546,0.9012166666666667,1.0,0.0475,0.69997,0.825
17,41oY4WCTj5kccfesTVFnvN,0.0225,0.795,0.684,0.0,0.658,0.9338166666666666,0.0,0.0419,0.570055,0.419
18,2rurDawMfoKP4uHyb2kJBt,0.234,0.695,0.636,0.0,0.081,0.9224333333333333,1.0,0.317,0.8706999999999999,0.575
19,5ww2BF9slyYgNOk37BlC4u,0.583,0.835,0.679,1.98e-06,0.218,0.9111833333333333,0.0,0.0364,0.6249,0.85
20,5PjdY0CKGZdEuoNab3yDmX,0.0383,0.591,0.764,0.0,0.103,0.9086,1.0,0.0483,0.84964,0.478
21,6HMtHNpW6YPi1hrw9tgF8P,0.0974,0.836,0.743,0.0,0.335,0.8949166666666667,0.0,0.0653,0.544825,0.723
22,4tYFy8ALRjIZvnvSLw5lxN,0.0151,0.829,0.799,0.000543,0.242,0.9101833333333333,1.0,0.0897,0.485065,0.471
23,6JIC3hbC28JZKZ8AlAqX8h,0.0354,0.795,0.8,7.25e-05,0.0915,0.8946666666666667,1.0,0.0309,0.58016,0.934
24,1qEmFfgcLObUfQm0j1W2CK,0.298,0.714,0.728,0.0,0.106,0.9234166666666667,1.0,0.0468,0.5749799999999999,0.901
25,0O6u0VJ46W86TxN9wgyqDj,0.121,0.733,0.67,0.0,0.121,0.89985,1.0,0.0751,0.50482,0.472
26,2DB4DdfCFMw1iaR6JaR03a,0.182,0.756,0.697,0.0,0.333,0.8937166666666667,1.0,0.0401,0.47497999999999996,0.956
27,3F5CgOj3wFlRv51JsHbxhe,0.000307,0.529,0.673,2.41e-06,0.093,0.9214833333333333,1.0,0.175,0.8296049999999999,0.366
28,1Hohk6AufHZOrrhMXZppax,0.00453,0.545,0.641,6.59e-05,0.171,0.8933666666666666,0.0,0.0998,0.60946,0.464
29,6VBhH7CyP56BXjp8VsDFPZ,0.572,0.577,0.574,0.0,0.1,0.89125,1.0,0.0278,0.470045,0.436
30,6zJejIfVYLgjud3lTk4DLB,0.107,0.565,0.636,9.9e-06,0.447,0.8633666666666666,1.0,0.0638,0.85005,0.525
31,4h4QlmocP3IuwYEj2j14p8,0.352,0.768,0.714,0.0,0.15,0.9148333333333334,1.0,0.0401,0.6572150000000001,0.842
32,1xzi1Jcr7mEi9K2RfzLOqS,0.0368,0.78,0.689,9.69e-06,0.0698,0.9055333333333333,1.0,0.141,0.57521,0.642
33,2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,0.807,0.0177,0.101,0.9531666666666667,1.0,0.0336,0.620265,0.398
34,6I3mqTwhRpn34SLVafSH7G,0.185,0.601,0.741,2.91e-05,0.415,0.9071833333333333,1.0,0.0478,0.7698,0.441
35,0T5iIrXA4p5GsubkhuBIKV,0.727,0.539,0.508,0.0,0.174,0.8991666666666667,1.0,0.0288,0.5067900000000001,0.227
36,0wHFktze2PHC5jDt3B17DC,0.111,0.902,0.582,3.18e-06,0.111,0.9016333333333333,0.0,0.109,0.535025,0.332
37,58HvfVOeJY7lUuCqF0m3ly,0.0228,0.41,0.611,0.0,0.116,0.86215,0.0,0.0467,0.928635,0.0899
38,7ef4DlsgrMEH11cDZd32M6,0.037,0.791,0.862,2.19e-05,0.0814,0.946,0.0,0.11,0.61997,0.592
39,1797zYiX4cKosMH836X9Gt,0.229,0.663,0.786,0.0,0.219,0.9415,0.0,0.195,0.9806,0.579
40,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,9.54e-05,0.0897,0.9011,1.0,0.0598,0.8550249999999999,0.334
41,2LBqCSwhJGcFQeTHMVGwy3,0.111,0.586,0.525,0.0,0.134,0.8806166666666666,0.0,0.0615,0.668145,0.508
42,1O2pcBJGej0pmH2Y9XZMs6,0.0924,0.87,0.548,4.6e-05,0.0534,0.91245,0.0,0.077,0.48009,0.832
43,1dm6z1fWB0cErMszU25dy2,0.356,0.564,0.903,0.0,0.175,0.9463166666666667,1.0,0.307,0.391465,0.607
44,0hquQWY3xvYqN4qtiquniF,0.0777,0.801,0.601,3.23e-05,0.145,0.8737666666666667,0.0,0.255,0.7998449999999999,0.74
45,3HyR1j49TY5ACP2lseF1jx,0.0843,0.674,0.625,0.0015,0.11,0.8401166666666666,1.0,0.0514,0.60002,0.208
46,7jtQIBanIiJOMS6RyCx6jZ,0.717,0.442,0.538,2.95e-05,0.09,0.8574999999999999,0.0,0.0451,0.61379,0.139
47,1MpCaOeUWhox2Fgigbe1cL,0.0616,0.554,0.535,1.32e-05,0.124,0.8506833333333333,0.0,0.186,0.5293249999999999,0.136
48,0314PeD1sQNonfVWix3B2K,0.203,0.923,0.528,9.57e-05,0.17,0.8479166666666667,0.0,0.259,0.575175,0.642
49,2mqTtvbKxH7SoEQ2oGAnsA,0.0381,0.792,0.919,5.1e-06,0.368,0.9052,1.0,0.276,0.46014000000000005,0.22
